代碼,學校類別,學校名稱,學校名稱.1,是否倒閉,倒閉年,公/私立,公私立碼,體系別,體系碼,縣市名稱,地區,地區碼,106註冊率,107註冊率,108註冊率,109註冊率,110註冊率,111註冊率,112註冊率,113註冊率,備註,114核定招生名額,106師生比,107師生比,108師生比,109師生比,110師生比,111師生比,112師生比,113師生比,106負債率,107負債率,108負債率,109負債率,110負債率,111負債率,112負債率,106學生數,107學生數,108學生數,109學生數,110學生數,111學生數,112學生數,113學生數,106資金增減,107資金增減,108資金增減,109資金增減,110資金增減,111資金增減,112資金增減
1190,-,高鳳數位內容學院,高鳳數位內容學院,0,103.0,私立,1,[2]技職,1,屏東縣,南部,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,-,永達技術學院,永達技術學院,0,103.0,私立,1,[2]技職,1,高雄市,南部,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,-,高美醫護管理專科學校,高美醫護管理專科學校,1,107.0,私立,1,[2]技職,1,高雄市,南部,2,47.24,,,,,,,,,,17.89,,,,,,,,11.84,,,,,,,,,,,,,,,-11588.0,,,,,,
1189,-,亞太創意技術學院,亞太創意技術學院,1,108.0,私立,1,[2]技職,1,苗栗縣,中部,1,69.32,,,,,,,,,,7.98,,,,,,,,6.21,,,,,,,343.0,,,,,,,,-39858.0,,,,,,
1074,-,南榮科技大學,南榮科技大學,1,109.0,私立,1,[2]技職,1,臺南市,南部,2,32.17,56.41,,,,,,,,,13.25,9.67,,,,,,,3.22,,,,,,,1176.0,733.0,,,,,,,-41850.0,,,,,,
1176,-,稻江科技暨管理學院,稻江科技暨管理學院,1,110.0,私立,1,[1]一般,0,嘉義縣,南部,2,,,,,,,,,,,24.17,27.02,25.7,8.41,,,,,4.47,3.12,2.11,,,,,1450.0,1540.0,1182.0,143.0,,,,,16360.0,1981.0,-7944.0,,,,
1192,-,臺灣觀光學院,臺灣觀光學院,0,110.0,私立,1,[2]技職,1,花蓮縣,東部,3,29.87,77.96,78.84,39.47,,,,,,,16.55,23.96,20.89,16.4,,,,,4.43,3.11,3.02,,,,,526.0,442.0,289.0,109.0,,,,,-5940.0,-37679.0,-13741.0,,,,
1182,-,蘭陽技術學院,蘭陽技術學院,1,111.0,私立,1,[2]技職,1,宜蘭縣,北部,0,43.89,63.73,80.83,92.37,,,,,108取消一半招生,,12.6,11.81,13.08,10.05,9.7,,,,3.16,3.48,3.42,2.42,0.44,,,562.0,516.0,346.0,226.0,132.0,,,,-21701.0,13831.0,-67.0,3176.0,-56730.0,,
1067,-,台灣首府大學,台灣首府大學,1,112.0,私立,1,[1]一般,0,臺南市,南部,2,53.36,52.82,46.96,44.57,38.18,,,,,,21.26,20.28,17.15,13.91,10.9,6.24,,,1.55,1.96,1.41,1.26,1.53,,,2232.0,1825.0,1269.0,918.0,643.0,256.0,,,-31161.0,-37043.0,-27245.0,-36631.0,4393.0,,
1159,-,和春技術學院,和春技術學院,1,112.0,私立,1,[2]技職,1,高雄市,南部,2,35.48,47.46,58.01,64.34,,,,,,,10.92,8.15,8.78,4.92,3.17,1.78,,,2.39,1.71,1.55,1.31,,,,784.0,413.0,278.0,156.0,77.0,24.0,,,-58994.0,-63895.0,-24484.0,-20599.0,,,
1068,-,中州科技大學,中州科技大學,0,112.0,私立,1,[2]技職,1,彰化縣,中部,1,54.42,53.42,64.48,61.12,63.45,,,,,,17.54,14.59,14.6,11.43,7.13,4.65,,,7.04,8.91,9.38,7.08,7.58,21.11,,2017.0,1517.0,1431.0,937.0,556.0,288.0,,,-13286.0,34017.0,-20776.0,-96962.0,-83492.0,36371.0,
1058,-,明道大學,明道大學,1,113.0,私立,1,[1]一般,0,彰化縣,中部,1,52.49,47.08,61.65,48.88,43.77,39.47,,,,,26.46,24.61,21.23,16.99,14.19,11.79,7.31,,14.38,14.47,13.1,15.17,16.44,,33.55,3440.0,3027.0,2441.0,1903.0,1504.0,967.0,446.0,,-6153.0,-771.0,-55461.0,15663.0,-84351.0,,90152.0
1081,-,東方設計大學,東方設計大學,1,113.0,私立,1,[2]技職,1,高雄市,南部,2,67.27,58.96,60.45,47.84,19.06,26.3,,,,,19.45,21.4,17.59,16.52,14.43,12.7,5.27,,5.71,7.37,8.11,7.76,5.68,6.41,25.74,1564.0,1418.0,1067.0,838.0,609.0,421.0,153.0,,-44373.0,-29869.0,-35032.0,30896.0,-56161.0,-55137.0,43714.0
1188,-,大同技術學院,大同技術學院,1,113.0,私立,1,[2]技職,1,嘉義縣,南部,2,71.73,73.05,46.02,44.94,64.25,,,,,,23.48,19.76,14.77,12.68,10.37,8.62,3.54,,4.95,5.33,3.79,2.79,5.89,9.61,28.11,1323.0,1110.0,792.0,545.0,397.0,178.0,71.0,,-31596.0,21653.0,-29281.0,-24049.0,-13311.0,-10199.0,18164.0
1066,-,環球科技大學,環球科技大學,1,113.0,私立,1,[2]技職,1,雲林縣,中部,1,63.89,66.34,59.17,59.67,60.22,62.8,,,,,21.12,19.87,18.39,18.99,15.72,12.99,7.71,,9.05,8.14,15.95,14.7,14.68,22.3,37.48,3696.0,3159.0,2704.0,2412.0,1855.0,1364.0,709.0,,-166505.0,-43900.0,33897.0,-15345.0,-58079.0,-40636.0,58352.0
1,公立大學,國立政治大學,國立政治大學,0,,公立,0,[1]一般,0,臺北市,北部,0,94.44,95.13,95.0,96.44,96.53,98.44,97.1,97.34,,2062.0,20.38,20.64,19.84,20.06,20.05,20.77,20.91,20.91,27.06,34.01,36.14,36.5,37.4,37.41,37.41,14612.0,14593.0,14603.0,14585.0,14478.0,14857.0,14915.0,15035.0,655226.0,-421693.0,-185608.0,666159.0,-118515.0,475413.0,209004.0
2,,國立清華大學,國立清華大學,0,,公立,0,[1]一般,0,新竹市,北部,0,94.56,95.97,96.43,99.04,100.0,100.0,100.0,100.0,,1963.0,18.87,18.78,18.6,18.68,18.92,19.42,20.0,19.57,27.14,31.23,33.6,34.89,39.32,42.76,42.47,15534.0,15436.0,15385.0,15601.0,16122.0,16647.0,16778.0,16854.0,541643.0,370786.0,-522595.0,133935.0,536544.0,1182074.0,827046.0
3,,國立臺灣大學,國立臺灣大學,0,,公立,0,[1]一般,0,臺北市,北部,0,94.36,94.53,95.17,96.6,100.0,99.9,99.42,99.54,,3452.0,14.85,14.81,15.03,15.03,15.19,15.16,15.61,15.78,32.75,35.09,43.16,44.81,37.98,39.26,39.18,30374.0,30260.0,30382.0,30852.0,31292.0,31799.0,32305.0,32858.0,44594.0,-378001.0,280940.0,1775403.0,2863718.0,-2649242.0,-898698.0
4,,國立臺灣師範大學,國立臺灣師範大學,0,,公立,0,[3]師範,2,臺北市,北部,0,92.89,92.55,93.92,93.63,96.51,96.73,96.92,96.16,,1708.0,16.28,16.14,16.79,16.76,17.03,16.98,17.18,17.39,14.39,16.26,19.39,25.13,30.4,33.15,33.82,13434.0,13540.0,13653.0,13791.0,14030.0,14080.0,14224.0,14291.0,380942.0,-124282.0,72619.0,157674.0,-497274.0,1082311.0,868505.0
5,,國立成功大學,國立成功大學,0,,公立,0,[1]一般,0,臺南市,南部,2,93.34,94.49,95.09,97.3,100.0,100.0,100.0,100.0,,2724.0,15.01,15.01,14.93,15.18,15.71,15.95,19.89,16.75,30.82,33.3,34.14,35.66,36.35,38.35,39.7,19909.0,19890.0,20010.0,20274.0,20869.0,21292.0,21500.0,21778.0,795245.0,-273580.0,187734.0,293055.0,21564.0,802397.0,376172.0
6,,國立中興大學,國立中興大學,0,,公立,0,[1]一般,0,臺中市,中部,1,92.95,93.64,94.38,94.83,98.74,100.0,100.0,97.72,,1903.0,16.1,16.04,15.89,15.97,14.9,14.81,15.02,15.08,21.45,24.2,25.47,26.11,26.78,25.78,26.75,12383.0,12432.0,12411.0,12378.0,12512.0,12838.0,12975.0,13259.0,59735.0,-427464.0,-13720.0,275258.0,-277008.0,335905.0,-194117.0
7,,國立陽明交通大學,國立陽明交通大學,0,,公立,0,[1]一般,0,新竹市,北部,0,94.76,96.25,96.25,98.32,100.0,100.0,100.0,100.0,,1738.0,17.59,17.33,17.62,17.99,16.12,16.35,17.11,17.51,34.72,38.58,38.9,36.05,36.83,38.12,38.21,12699.0,12738.0,13146.0,13582.0,18631.0,18835.0,19491.0,20133.0,267988.0,-9276.0,104393.0,169281.0,-48231.0,1106605.0,155438.0
8,,國立中央大學,國立中央大學,0,,公立,0,[1]一般,0,桃園市,北部,0,93.27,93.43,93.07,96.34,100.0,100.0,100.0,100.0,,1500.0,16.23,16.45,15.83,15.79,15.84,16.97,17.32,17.56,26.56,27.87,28.0,29.17,30.03,30.69,30.08,10599.0,10612.0,10479.0,10563.0,10695.0,10829.0,10981.0,11078.0,140356.0,-40893.0,-243586.0,785.0,44533.0,-124907.0,236502.0
9,,國立中山大學,國立中山大學,0,,公立,0,[1]一般,0,高雄市,南部,2,89.32,89.65,90.35,92.54,96.81,98.93,98.06,94.38,,1144.0,16.58,16.09,15.82,15.41,15.34,15.52,15.14,15.78,29.64,30.75,32.15,36.73,38.12,40.82,41.4,8439.0,8400.0,8495.0,8601.0,8807.0,9201.0,9294.0,9970.0,315054.0,-31536.0,-104082.0,45996.0,347322.0,-158270.0,462941.0
12,,國立臺灣海洋大學,國立臺灣海洋大學,0,,公立,0,[1]一般,0,基隆市,北部,0,86.47,88.12,90.03,89.49,90.69,91.3,92.06,89.05,,1360.0,17.97,18.0,17.78,17.52,17.68,17.87,18.54,18.48,15.42,16.92,17.43,26.17,26.31,27.42,27.39,7422.0,7486.0,7644.0,7707.0,7832.0,7900.0,8029.0,8001.0,103970.0,-15535.0,-186916.0,-44953.0,-11076.0,155246.0,131047.0
13,,國立中正大學,國立中正大學,0,,公立,0,[1]一般,0,嘉義縣,南部,2,91.37,90.45,91.59,92.7,95.15,95.58,95.07,93.81,,1586.0,18.71,18.21,18.49,18.23,18.39,18.93,19.41,18.96,16.45,18.09,16.91,18.68,19.54,19.59,19.23,10142.0,9978.0,9836.0,9716.0,9784.0,9974.0,10072.0,10085.0,176989.0,-814435.0,-250565.0,180974.0,1105.0,430736.0,-590360.0
14,,國立高雄師範大學,國立高雄師範大學,0,,公立,0,[3]師範,2,高雄市,南部,2,90.1,86.17,88.12,89.36,95.48,93.46,92.64,89.65,,841.0,18.33,18.43,18.48,19.34,20.05,20.61,22.05,21.69,10.52,10.54,11.14,11.19,12.12,12.66,13.63,5315.0,5326.0,5359.0,5531.0,5693.0,5834.0,5976.0,5921.0,148234.0,217267.0,-313777.0,107566.0,140132.0,-75108.0,-85121.0
15,,國立彰化師範大學,國立彰化師範大學,0,,公立,0,[3]師範,2,彰化縣,中部,1,94.79,93.94,96.0,95.21,96.42,96.85,96.91,95.78,,1128.0,18.45,18.83,19.35,19.13,18.59,19.62,19.89,20.28,25.41,26.0,26.35,27.55,28.58,29.76,29.14,6882.0,6947.0,7023.0,7041.0,7103.0,7162.0,7240.0,7320.0,151511.0,-476055.0,779945.0,-439866.0,-153791.0,317978.0,-203446.0
16,,(自增)國立陽明大學,國立陽明大學,0,110.0,,0,,0,臺北市,北部,0,85.16,86.83,89.51,95.15,,,,,,,10.55,10.3,10.31,10.81,,,,,29.08,29.73,26.92,,,,,4197.0,4193.0,4186.0,4379.0,,,,,231274.0,-277263.0,50631.0,,,,
17,,國立臺北大學,國立臺北大學,0,,公立,0,[1]一般,0,新北市,北部,0,95.19,96.32,96.52,97.67,97.23,94.92,95.23,94.67,,1340.0,20.21,19.39,19.44,19.31,19.98,20.23,19.44,19.64,8.5,8.58,8.79,10.17,10.36,11.06,12.83,7438.0,7349.0,7387.0,7415.0,7572.0,7667.0,7700.0,7817.0,166395.0,-91251.0,-35572.0,-58788.0,151944.0,4315.0,-52442.0
18,,國立嘉義大學,國立嘉義大學,0,,公立,0,[1]一般,0,嘉義市,南部,2,89.94,90.96,91.54,90.67,93.76,82.45,89.75,86.46,,1901.0,18.22,17.81,17.33,17.28,17.98,18.03,18.49,18.36,10.09,11.47,12.11,13.19,14.48,14.86,15.18,9366.0,9173.0,9009.0,8863.0,8989.0,8745.0,8970.0,8923.0,325000.0,-23654.0,-29063.0,-38257.0,-58053.0,-8148.0,-85315.0
19,,國立高雄大學,國立高雄大學,0,,公立,0,[1]一般,0,高雄市,南部,2,92.07,92.71,93.99,92.81,96.25,94.47,97.26,94.48,,1062.0,20.87,20.83,21.05,21.29,21.93,22.85,23.7,23.59,6.78,7.72,9.3,10.73,11.93,12.04,12.41,4863.0,4937.0,5010.0,5066.0,5220.0,5323.0,5475.0,5473.0,59935.0,-1409.0,37775.0,-38130.0,77305.0,-46544.0,-23187.0
20,,國立東華大學,國立東華大學,0,,公立,0,[1]一般,0,花蓮縣,東部,3,87.02,86.05,89.22,92.31,93.88,87.53,92.38,87.68,,1737.0,19.49,19.72,20.37,20.7,21.25,21.27,21.39,21.01,9.57,10.74,10.92,11.64,11.86,13.57,13.08,9587.0,9407.0,9371.0,9459.0,9688.0,9742.0,9838.0,9726.0,407723.0,-248857.0,30265.0,147410.0,40720.0,-323670.0,-27890.0
21,,國立暨南國際大學,國立暨南國際大學,0,,公立,0,[1]一般,0,南投縣,中部,1,83.03,83.18,87.32,90.24,94.66,92.61,94.68,91.94,,984.0,22.1,21.45,20.67,20.34,21.32,22.3,23.02,23.03,16.46,17.06,18.67,21.65,24.26,24.11,24.87,5924.0,5771.0,5684.0,5554.0,5756.0,5887.0,6030.0,6150.0,117557.0,96896.0,-82348.0,87081.0,-13458.0,-89953.0,109091.0
28,,國立臺北藝術大學,國立臺北藝術大學,0,,公立,0,[1]一般,0,臺北市,北部,0,95.31,93.91,97.44,97.01,97.54,97.81,97.63,97.51,,394.0,18.36,17.81,18.07,17.97,17.16,17.87,17.87,17.58,19.66,18.46,19.32,18.9,18.55,16.82,15.87,2863.0,2831.0,2854.0,2883.0,2799.0,2917.0,2937.0,2948.0,10706.0,93112.0,-6594.0,-119640.0,47378.0,-56988.0,23841.0
29,,國立臺灣藝術大學,國立臺灣藝術大學,0,,公立,0,[1]一般,0,新北市,北部,0,97.8,97.87,97.23,96.19,97.84,96.19,94.93,91.56,,514.0,20.4,19.82,20.96,20.75,19.75,19.52,20.98,20.21,6.51,5.4,5.88,5.75,5.83,5.33,5.16,3304.0,3310.0,3270.0,3217.0,3259.0,3299.0,3357.0,3355.0,122629.0,120101.0,-185920.0,35898.0,139185.0,-343201.0,-54964.0
30,,國立臺東大學,國立臺東大學,0,,公立,0,[1]一般,0,臺東縣,東部,3,84.04,83.98,90.39,92.68,93.59,83.86,90.21,87.58,,870.0,20.32,19.87,19.7,19.83,20.06,19.64,19.32,19.31,3.69,5.15,5.24,5.33,5.22,5.38,5.9,3901.0,3854.0,3881.0,4006.0,4132.0,4104.0,4095.0,4017.0,157415.0,71466.0,-20614.0,-26390.0,52832.0,-47406.0,28937.0
31,,國立宜蘭大學,國立宜蘭大學,0,,公立,0,[1]一般,0,宜蘭縣,北部,0,92.84,92.84,92.25,95.97,97.26,95.75,98.7,95.46,,1049.0,21.18,21.02,20.86,20.66,21.43,21.47,21.18,21.08,11.7,12.07,12.03,12.42,12.39,12.3,11.44,4936.0,4876.0,4818.0,4854.0,4993.0,5024.0,5040.0,4933.0,94502.0,-136857.0,-50189.0,-370988.0,46414.0,-14755.0,-69254.0
32,,國立聯合大學,國立聯合大學,0,,公立,0,[1]一般,0,苗栗縣,中部,1,86.73,89.64,89.66,89.51,93.1,92.14,96.43,89.51,,1494.0,22.48,22.44,22.27,22.49,23.07,23.07,23.39,23.64,5.82,6.23,6.87,7.76,7.86,8.49,8.45,6473.0,6372.0,6348.0,6387.0,6530.0,6553.0,6642.0,6571.0,104533.0,194100.0,85686.0,48856.0,-175921.0,-35043.0,47151.0
35,,國立臺南藝術大學,國立臺南藝術大學,0,,公立,0,[1]一般,0,臺南市,南部,2,90.24,88.3,88.63,93.17,96.36,92.17,93.3,89.52,,200.0,14.59,14.01,14.26,14.28,14.63,15.13,15.53,15.35,3.83,3.13,4.01,3.48,3.59,4.3,5.76,1362.0,1346.0,1389.0,1372.0,1392.0,1430.0,1422.0,1390.0,87267.0,-36626.0,136348.0,30758.0,19652.0,-52598.0,29102.0
36,,國立臺南大學,國立臺南大學,0,,公立,0,[1]一般,0,臺南市,南部,2,89.36,88.06,86.43,91.88,90.41,85.32,93.64,90.95,,927.0,21.06,21.02,21.09,21.58,22.45,22.58,23.24,24.65,12.38,14.22,13.73,13.72,15.14,15.24,18.11,4992.0,4940.0,4894.0,4963.0,5096.0,5057.0,5137.0,5152.0,105644.0,57912.0,8762.0,86771.0,77567.0,21768.0,122849.0
37,,國立臺北教育大學,國立臺北教育大學,0,,公立,0,[3]師範,2,臺北市,北部,0,97.01,91.77,95.27,95.37,97.62,95.22,96.65,95.82,,768.0,21.48,20.75,20.34,20.44,19.96,20.87,21.34,21.15,8.42,9.5,9.36,8.93,9.98,9.51,8.82,4789.0,4877.0,4820.0,4864.0,4890.0,4904.0,4950.0,4949.0,79035.0,-72030.0,78617.0,-81929.0,212869.0,-265742.0,34583.0
39,,國立臺中教育大學,國立臺中教育大學,0,,公立,0,[3]師範,2,臺中市,中部,1,95.51,93.68,94.71,94.69,97.25,89.99,95.51,97.12,,766.0,21.57,20.75,20.61,20.39,20.7,21.11,21.35,21.66,13.02,12.84,11.47,11.14,12.33,13.93,14.96,4293.0,4212.0,4164.0,4139.0,4222.0,4221.0,4334.0,4354.0,132311.0,-118451.0,105215.0,-19557.0,125895.0,73933.0,-95849.0
44,,國立體育大學,國立體育大學,0,,公立,0,[1]一般,0,桃園市,北部,0,94.98,94.9,96.07,93.75,97.0,98.48,94.94,99.38,,350.0,21.39,22.2,22.12,22.26,22.69,24.34,24.52,25.65,5.19,6.0,6.02,8.63,12.07,10.68,10.46,2160.0,2176.0,2234.0,2271.0,2314.0,2410.0,2452.0,2462.0,-150011.0,-17596.0,-18600.0,3049.0,248869.0,-143079.0,-69543.0
48,,國立金門大學,國立金門大學,0,,公立,0,[1]一般,0,金門縣,離島,4,88.19,86.32,92.86,86.5,92.29,83.45,85.06,80.49,,733.0,23.95,23.17,22.85,21.67,22.12,22.4,22.72,20.84,10.95,12.11,13.2,12.79,15.94,15.44,15.1,3569.0,3360.0,3404.0,3186.0,3274.0,3315.0,3272.0,3085.0,50632.0,166996.0,-19333.0,-149028.0,-52586.0,-52244.0,-40740.0
49,,國立臺灣體育運動大學,國立臺灣體育運動大學,0,,公立,0,[1]一般,0,臺中市,中部,1,94.23,97.37,98.37,98.52,97.03,97.91,98.6,94.84,,541.0,25.3,23.27,23.15,21.21,20.79,21.27,21.13,21.11,5.19,4.71,4.39,4.04,3.34,3.97,6.4,2707.0,2630.0,2616.0,2630.0,2619.0,2638.0,2662.0,2639.0,2591.0,41062.0,35536.0,-156815.0,47354.0,65332.0,75841.0
52,,國立屏東大學,國立屏東大學,0,,公立,0,[1]一般,0,屏東縣,南部,2,88.4,90.4,89.68,94.31,94.44,85.93,90.55,88.36,,1458.0,22.95,22.48,21.79,21.54,21.37,21.24,22.08,22.24,6.25,6.05,6.01,6.62,6.91,8.18,8.19,7756.0,7666.0,7538.0,7539.0,7587.0,7496.0,7528.0,7561.0,255916.0,26917.0,50423.0,-88587.0,144720.0,39800.0,-12155.0
3002,,臺北市立大學(政府不提供負債率),臺北市立大學,0,,公立,0,[1]一般,0,臺北市,北部,0,93.67,94.94,96.49,97.37,97.07,96.06,96.09,95.92,,1204.0,20.23,20.17,20.12,21.25,21.47,21.31,21.16,21.16,,,,,,,,6697.0,6738.0,6719.0,6864.0,6913.0,6840.0,6813.0,6813.0,,,,,,,
22,公立技專,國立臺灣科技大學,國立臺灣科技大學,0,,公立,0,[2]技職,1,臺北市,北部,0,96.67,97.0,97.75,98.85,100.0,100.0,100.0,100.0,,,22.34,20.79,19.8,18.6,20.2,20.75,19.62,19.39,22.59,24.7,25.86,28.85,28.94,27.96,26.29,10222.0,10336.0,10476.0,10359.0,10443.0,10812.0,10811.0,11012.0,357517.0,275359.0,-142120.0,63904.0,308727.0,-1978.0,-131338.0
23,,國立雲林科技大學,國立雲林科技大學,0,,公立,0,[2]技職,1,雲林縣,中部,1,88.45,88.86,90.28,90.74,92.41,95.92,94.39,93.54,,,24.57,21.84,21.26,20.91,21.21,21.91,22.49,23.7,14.96,16.41,17.72,18.61,18.07,19.04,19.24,8943.0,8932.0,8844.0,8822.0,8864.0,8985.0,9290.0,9458.0,142276.0,147786.0,166298.0,-9781.0,-151288.0,-27891.0,-186418.0
24,,國立屏東科技大學,國立屏東科技大學,0,,公立,0,[2]技職,1,屏東縣,南部,2,84.16,87.07,88.52,89.76,90.59,90.17,87.14,83.89,,,23.09,22.66,22.67,21.26,22.59,21.3,20.64,19.99,18.75,20.15,20.19,20.03,21.24,21.39,22.75,9191.0,9247.0,9115.0,9036.0,8990.0,9031.0,8937.0,8695.0,131967.0,114383.0,8970.0,-274688.0,76964.0,-115180.0,286017.0
25,,國立臺北科技大學,國立臺北科技大學,0,,公立,0,[2]技職,1,臺北市,北部,0,95.87,96.48,96.38,99.62,100.0,100.0,100.0,100.0,,,20.37,20.5,21.37,22.55,22.38,22.29,21.98,22.32,13.87,15.27,16.24,15.7,15.66,15.44,15.33,9572.0,9581.0,9935.0,10187.0,10198.0,10458.0,10705.0,10799.0,-3812.0,167586.0,297585.0,201361.0,-550382.0,3380.0,-187884.0
33,,國立虎尾科技大學,國立虎尾科技大學,0,,公立,0,[2]技職,1,雲林縣,中部,1,87.17,88.95,91.69,89.63,95.44,93.54,94.24,94.38,,,25.24,24.84,24.69,24.83,25.35,25.91,25.05,26.11,11.05,10.76,13.24,13.46,14.95,16.8,16.89,8304.0,8270.0,8354.0,8443.0,8608.0,8829.0,8912.0,9075.0,140243.0,-46054.0,-39583.0,-10179.0,69499.0,42134.0,-182900.0
